date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:44	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
17:05:45	24513/24513	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20May%202020%2013:48:06%20GMT	https://preview.colorlib.com/theme/unfold/	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/index.html	(from )
17:05:46	79820/79820	---M-Z	200	added ('OK')	text/css	etag:%22137cc-5a5c43ca25d40-gzip%22	https://preview.colorlib.com/theme/unfold/css/vendor/icomoon/style.css	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/css/vendor/icomoon/style.css	(from https://preview.colorlib.com/theme/unfold/)
17:05:46	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-5a5c433b18bc0-gzip%22	https://preview.colorlib.com/theme/unfold/css/vendor/owl.carousel.min.css	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/css/vendor/owl.carousel.min.css	(from https://preview.colorlib.com/theme/unfold/)
17:05:47	58129/58129	---M-Z	200	added ('OK')	text/css	etag:%22e311-5a5c43355fe40-gzip%22	https://preview.colorlib.com/theme/unfold/css/vendor/animate.min.css	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/css/vendor/animate.min.css	(from https://preview.colorlib.com/theme/unfold/)
17:05:48	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-5a5c433654080-gzip%22	https://preview.colorlib.com/theme/unfold/css/vendor/aos.css	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/css/vendor/aos.css	(from https://preview.colorlib.com/theme/unfold/)
17:05:50	178067/178067	---M-Z	200	added ('OK')	text/css	etag:%222b793-5a5c433930740-gzip%22	https://preview.colorlib.com/theme/unfold/css/vendor/bootstrap.min.css	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/css/vendor/bootstrap.min.css	(from https://preview.colorlib.com/theme/unfold/)
17:05:50	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%2231fb-5a5c433b18bc0-gzip%22	https://preview.colorlib.com/theme/unfold/css/vendor/jquery.fancybox.min.css	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/css/vendor/jquery.fancybox.min.css	(from https://preview.colorlib.com/theme/unfold/)
17:05:51	44734/44734	---M-Z	200	added ('OK')	text/css	etag:%22aebe-5c1f9f8fd1b4b-gzip%22	https://preview.colorlib.com/theme/unfold/css/style.css	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/css/style.css	(from https://preview.colorlib.com/theme/unfold/)
17:05:52	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2016%20May%202023%2014:05:52%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/unfold/)
17:05:54	24513/24513	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20May%202020%2013:48:06%20GMT	https://preview.colorlib.com/theme/unfold/index.html	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/index-2.html	(from https://preview.colorlib.com/theme/unfold/)
17:05:54	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20May%202023%2014:05:54%20GMT	https://preview.colorlib.com/theme/unfold/index-video.html	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/index-video.html	(from https://preview.colorlib.com/theme/unfold/)
17:05:55	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20May%202023%2014:05:55%20GMT	https://preview.colorlib.com/theme/unfold/index-hero-slider.html	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/index-hero-slider.html	(from https://preview.colorlib.com/theme/unfold/)
17:05:56	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20May%202023%2014:05:56%20GMT	https://preview.colorlib.com/theme/unfold/index-sidebar-menu.html	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/index-sidebar-menu.html	(from https://preview.colorlib.com/theme/unfold/)
17:05:57	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20May%202023%2014:05:57%20GMT	https://preview.colorlib.com/theme/unfold/index-right-menu.html	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/index-right-menu.html	(from https://preview.colorlib.com/theme/unfold/)
17:05:59	129939/129939	---M--	200	added ('OK')	image/jpeg	etag:%221fb93-5a5c42f392300%22	https://preview.colorlib.com/theme/unfold/images/cover_bg_2.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/cover_bg_2.jpg	(from https://preview.colorlib.com/theme/unfold/)
